update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2040                0.00507279          0.00172701          5.8699e-05          0.00811455
2                   2370                0.00525294          0.00171288          7.85645e-05         0.00823544
3                   2352                0.00564029          0.00181856          7.95773e-05         0.00876385
4                   1987                0.00537479          0.00169717          7.5693e-05          0.00832508
5                   2306                0.00527397          0.00171142          7.67138e-05         0.00822108
6                   2035                0.00558993          0.00180831          8.23783e-05         0.00877383
7                   2109                0.0055244           0.00179417          8.2622e-05          0.00869621
8                   2044                0.00530407          0.0017269           8.17956e-05         0.00836281
9                   2239                0.00568511          0.00179286          8.16611e-05         0.00884522
10                  2098                0.00572151          0.00179536          8.03521e-05         0.00889901
11                  2149                0.00598173          0.00183929          7.97121e-05         0.00923524
12                  2063                0.00580397          0.00179028          7.68438e-05         0.00898184
13                  1994                0.00585696          0.00182152          7.60052e-05         0.00910842
14                  2114                0.00586471          0.00178016          7.32865e-05         0.00904517
15                  2129                0.0058269           0.00177499          7.27345e-05         0.00899075
16                  1771                0.00572993          0.00175338          7.18396e-05         0.00885982
17                  2066                0.0056469           0.00173928          7.06648e-05         0.00875108
18                  1878                0.00562811          0.00175648          7.03126e-05         0.00874848
19                  1921                0.00551888          0.00172812          6.89363e-05         0.00858998
20                  2029                0.00543477          0.00171167          6.78637e-05         0.00847762
21                  2054                0.00537215          0.00172008          6.84577e-05         0.00838375
22                  1801                0.00529197          0.00172234          7.30808e-05         0.00827893
23                  1787                0.00521323          0.0017187           7.5788e-05          0.00816707
24                  1994                0.00518584          0.00172967          7.85268e-05         0.00813045
25                  1927                0.00512943          0.00173029          8.1749e-05          0.00804709
26                  1839                0.00506604          0.00172535          8.38148e-05         0.00795569
27                  1939                0.00502986          0.00173164          8.99982e-05         0.00791299
28                  1800                0.00497868          0.00173034          9.43356e-05         0.00784806
29                  1780                0.00493559          0.00173467          9.79945e-05         0.00779619
30                  1911                0.00490318          0.00173851          9.87253e-05         0.00775346
31                  1852                0.00487063          0.00173581          9.91822e-05         0.00770125
32                  1891                0.00484054          0.0017349           9.9733e-05          0.00765703
33                  1802                0.00480481          0.00172973          0.000100171         0.00759989
34                  1710                0.00476077          0.00171707          0.000100332         0.00754578
35                  1718                0.004715            0.00170982          0.000100817         0.00748027
36                  1764                0.00467834          0.00170189          0.000101046         0.00743054
37                  1620                0.004635            0.00169438          0.000100853         0.0073828
38                  1692                0.00459522          0.00168477          0.000100733         0.00732995
39                  1716                0.00455764          0.00167834          0.00010099          0.00727989
40                  1703                0.00451508          0.0016656           0.000101035         0.0072264
41                  2030                0.00449454          0.00166306          0.000101687         0.00719863
42                  2144                0.00448116          0.00167632          0.000102261         0.0071957
43                  2157                0.00446621          0.00167982          0.000103542         0.00717576
44                  2258                0.00445689          0.00168444          0.000104143         0.00716918
