update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2260                0.00450336          0.00160062          4.2441e-05          0.00723727
2                   2449                0.00479575          0.00177027          5.7434e-05          0.00800729
3                   2513                0.00487741          0.00177177          5.52273e-05         0.00800026
4                   2212                0.00469872          0.00170409          5.10595e-05         0.00772695
5                   2406                0.0052216           0.00186317          5.37312e-05         0.00851828
6                   2445                0.00584927          0.00207304          5.77305e-05         0.00952797
7                   2429                0.00640632          0.00222537          5.97623e-05         0.0103765
8                   2478                0.0062582           0.00218236          5.90074e-05         0.0101297
9                   2465                0.00612261          0.00213378          5.74988e-05         0.00990132
10                  2214                0.00594558          0.00207413          5.63786e-05         0.00963037
11                  2436                0.00599056          0.00217847          5.74027e-05         0.009805
12                  2278                0.0063639           0.00229783          6.09034e-05         0.0103801
13                  2223                0.00650045          0.00233717          6.33082e-05         0.0105925
14                  2328                0.00654528          0.0023482           6.3303e-05          0.0106587
15                  2314                0.0069656           0.00237413          6.43875e-05         0.011126
16                  2223                0.00685508          0.00234603          6.40228e-05         0.010964
17                  2320                0.00682184          0.00235249          6.48374e-05         0.0109332
18                  2219                0.00668634          0.00230895          6.37132e-05         0.0107264
19                  2158                0.00656604          0.0022831           6.34082e-05         0.0105645
20                  2243                0.00647703          0.00226096          6.28868e-05         0.0104473
21                  2097                0.0063647           0.00224908          6.27509e-05         0.0103069
22                  2125                0.00627515          0.00223189          6.27599e-05         0.0101837
23                  2222                0.00619434          0.0022148           6.2457e-05          0.0100673
24                  2183                0.00611232          0.0021857           6.1415e-05          0.00993756
25                  2079                0.00603257          0.0021585           6.04772e-05         0.0098114
26                  2141                0.00596461          0.00213407          5.96012e-05         0.00970135
27                  1948                0.00588042          0.00210636          5.86998e-05         0.00957575
28                  1978                0.00580631          0.00208142          5.78102e-05         0.00946242
29                  2175                0.00575419          0.00206224          5.6958e-05          0.00937877
30                  2183                0.00570735          0.00204426          5.6237e-05          0.00929909
31                  2062                0.00565118          0.00202549          5.59284e-05         0.00921129
32                  2123                0.00560117          0.0020078           5.54404e-05         0.00912777
33                  1993                0.00554757          0.00199211          5.53086e-05         0.00904368
34                  1892                0.0054826           0.00197274          5.49418e-05         0.00894421
35                  2012                0.00543843          0.00195832          5.48055e-05         0.00887315
36                  2135                0.00540474          0.00194423          5.43921e-05         0.00881526
37                  2056                0.00536757          0.00192944          5.39889e-05         0.00875108
38                  2226                0.00534626          0.00191925          5.36319e-05         0.00870897
39                  2031                0.0053088           0.00190642          5.31238e-05         0.00865195
