update_count   point_num cluster_time   segmentation_time   match_time          total_time
1              2343      0.00460008     0.00754086          5.9609e-05          0.0125976
2              2496      0.00470558     0.00782376          0.000113699         0.0131951
3              2390      0.0046343      0.00773946          0.00012156          0.0129917
4              2304      0.00452145     0.00759357          0.000124689         0.0126976
5              2247      0.00442464     0.00740798          0.000124858         0.012409
6              2323      0.00439958     0.00732665          0.000125491         0.0123052
7              2447      0.00444962     0.00741418          0.000129574         0.0124358
8              2486      0.00451374     0.0074138           0.000130834         0.0124916
9              2147      0.00442485     0.00728713          0.000130444         0.0122816
10             2448      0.00445071     0.00731307          0.000135023         0.0123438
11             2380      0.00444523     0.00729859          0.000138767         0.0123194
12             2266      0.00442669     0.00727869          0.000139322         0.0122778
13             2393      0.00442668     0.00731702          0.000141293         0.012306
14             2361      0.00442297     0.00731167          0.00014206          0.0122924
15             2240      0.00439175     0.00729977          0.000142879         0.0122458
16             2194      0.00436742     0.00727092          0.000142916         0.0121922
17             2282      0.00435479     0.00725733          0.000142582         0.0121669
18             2142      0.00432326     0.0072138           0.000142171         0.0120876
19             2179      0.00430508     0.0071798           0.000143552         0.0120327
20             2214      0.00428779     0.00716492          0.000143552         0.0119983
21             2121      0.00426117     0.00711435          0.000142883         0.0119187
22             2216      0.00425615     0.00709991          0.000142693         0.0118933
23             2097      0.0042381      0.00706999          0.000141985         0.0118438
24             2043      0.00421254     0.0070448           0.000141538         0.0117918
25             2146      0.00420326     0.00703716          0.000141099         0.0117739
26             2020      0.00418094     0.00700931          0.000140373         0.0117244
27             1983      0.00415015     0.00696547          0.000139615         0.0116522
28             1960      0.00412066     0.00692255          0.000138837         0.0115801
29             2183      0.00411996     0.00690628          0.00013789          0.0115626
30             2082      0.00410361     0.00688802          0.000137312         0.0115257
31             2181      0.00415685     0.00698409          0.000139025         0.0116831
32             2198      0.00422892     0.00710663          0.000141801         0.0118855
33             2076      0.00426523     0.00718983          0.000143347         0.0120023
34             2045      0.00442982     0.0073541           0.00014477          0.0123433
35             2133      0.00463843     0.00766655          0.0001462           0.0128736
36             2084      0.00468261     0.00782658          0.000149517         0.0130815
37             2217      0.00473104     0.00788418          0.000150501         0.0131877
38             2006      0.00473406     0.00790346          0.000150772         0.0132064
39             1957      0.00482592     0.00804996          0.000151672         0.013443
40             2181      0.0048618      0.00811901          0.000152677         0.0135524
41             2205      0.0051895      0.0084503           0.000155157         0.0142097
42             2070      0.00518106     0.00842724          0.000154875         0.0141788
43             2188      0.0052708      0.00856898          0.000156907         0.0144124
44             2255      0.0053232      0.00864549          0.000157703         0.0145427
45             2183      0.0056059      0.00890611          0.000158797         0.0150915
46             2202      0.00586912     0.00915736          0.000160427         0.0156089
47             2243      0.00614522     0.00942614          0.000161737         0.0161569
48             2186      0.00610237     0.00938868          0.000161586         0.0160725
49             2209      0.00608422     0.00939152          0.000161858         0.0160568
50             2044      0.00605309     0.00934949          0.000161862         0.0159846
